utgdag;kaupverd;nuvirdi;ist120;ibm2;ib2m2;ib3m2;rism2;bilskurm2;geymm2;two_livunits;two_storey;storeys_3;age_studull;not_concrete;stud1house;bath_fixtures;fjbilsk;lodpflm;landratio;innig_factor;utig_factor;fjarmalastofnunselur;hverfi;gata
25/09/2015;26000;25992;1111;139.2;0;0;0;32.8;0;0;0;0;59;0;1;2;0;900;1.216;1;0.96;0;2010;0
17/07/2014;11500;11436;1111;133.9;0;0;0;0;0;0;0;0;46;1;1.041;2;0;900;1.216;1;1;1;2010;0
21/07/2018;25000;24986;1111;133.9;0;0;0;0;0;0;0;0;50;1;1.041;2;0;900;1.216;1;1;0;2010;0
17/09/2017;25000;25000;1111;133.9;0;0;0;0;0;0;0;0;49;1;1.041;2;0;900;1.216;1;1;0;2010;0
22/03/2015;13260;13054;1111;82.2;0;27.2;0;0;0;0;1;0;71;0;1.131;2;0;647;0.874;0.94;0.78;0;2010;0
06/09/2017;20277;18249;1111;82.2;0;27.2;0;0;0;0;1;0;73;0;1.131;2;0;647;0.874;0.94;0.78;0;2010;0
12/08/2017;28000;27986;1111;168.5;0;0;7.9;0;0;0;1;0;53;0;1.136;3;0;949;1.282;1;1;1;2010;0
18/11/2018;15650;15650;1126;81.6;0;0;0;0;12;0;0;0;52;0;1;2;0;419;0.566;1;1;1;2010;0
04/10/2014;9200;9200;1111;117.2;58.6;0;0;0;0;0;1;0;70;0;1.003;2;0;606;0.819;0.78;0.89;1;2010;0
22/06/2016;11300;11297;1111;46.2;0;0;0;0;0;0;0;0;72;1;1;2;0;545;0.736;1.04;0.89;0;2010;0
25/06/2016;30000;29936;1111;131.6;0;0;0;48;0;0;0;0;38;0;1.166;4;0;780;1.054;1;0.96;0;2010;0
22/09/2016;28000;27874;1111;158.8;0;0;0;45.4;0;0;0;0;37;0;1.193;4;0;938;1.268;1;1;0;2010;0
11/09/2016;26000;25485;1111;173.3;40.7;0;0;0;0;0;1;0;36;0;1.375;3;0;940;1.27;0.94;0.94;1;2010;0
09/10/2015;29500;29107;1111;139.9;0;0;0;41.7;0;0;0;0;45;0;1.105;3;0;765;1.034;1.15;1;0;2010;0
24/02/2016;31500;31264;1111;120.9;0;0;0;38.6;0;0;0;0;15;1;1;2;0;930;1.257;1;1;0;2010;0
17/10/2014;16500;16472;1111;114.2;0;0;0;41.6;19.2;0;0;0;41;0;1;2;0;720;0.973;0.76;0.96;1;2010;0
15/07/2016;28000;27673;1111;114.2;0;0;0;41.6;19.2;0;0;0;43;0;1;2;0;720;0.973;0.76;0.96;0;2010;0
23/03/2014;22000;21950;1111;131.6;0;0;0;47.2;0;0;0;0;37;0;1.166;4;0;575;0.777;1;0.96;1;2010;0
21/02/2016;23700;23497;1111;141.6;0;0;0;46.2;0;0;0;0;37;0;1.065;2;0;720;0.973;1.15;0.89;0;2010;0
25/11/2017;20000;19928;1111;60.7;0;22.5;0;29.4;0;0;1;0;32;1;1.124;2;0;700;0.946;1;1;0;2010;0
10/07/2014;28500;28500;1111;164.4;0;0;0;61.6;0;0;0;0;36;0;1.146;4;0;806;1.089;1.08;1;1;2010;0
28/06/2015;15200;15200;1111;58.4;0;0;0;0;0;0;0;0;65;0;1.021;2;0;400;0.541;1.11;1.11;0;2010;0
22/03/2018;39400;39387;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;13;0;1;2;0;658;0.889;1;1;0;2010;0
13/04/2018;48000;47888;1111;126.5;0;0;0;38.4;0;0;0;0;15;0;1;2;0;779;1.053;1;1;0;2010;0
14/01/2017;36500;36446;1111;146.2;0;0;0;27.8;0;0;0;0;16;0;1.08;4;0;825;1.115;1;1;0;2010;0
09/01/2017;34000;33979;1111;147.5;25;0;0;30;0;0;1;0;48;0;1.297;4;0;976;1.319;1;1;0;2010;0
17/10/2014;38000;37749;1111;188.8;0;0;0;44.5;0;0;0;0;6;0;1.214;5;0;770;1.041;1;1;0;2010;0
27/04/2017;37500;37192;1111;196.4;101.2;0;0;0;0;0;1;0;49;0;1.108;3;0;1100;1.486;1.02;1;0;2010;0
02/06/2017;41000;40902;1111;171.6;0;0;0;36.5;0;0;1;0;15;1;1.619;3;0;739;0.999;1;1;0;2010;0
05/09/2014;11500;11500;1111;97.3;0;0;0;0;48.3;0;0;0;19;0;1.201;2;0;4327;5.847;1;1;1;2015;0
15/05/2019;37000;36979;1111;136;0;0;36.7;32.5;22.7;0;0;0;49;0;1.14;2;0;10000;13.514;1;1;0;2015;0
06/09/2019;45000;44897;1111;120.9;0;0;0;70;0;0;0;0;43;0;1.123;2;0;1600;2.162;1.04;0.96;0;2015;0
26/01/2017;38000;37671;1111;136;0;0;36.7;32.5;22.7;0;0;0;47;0;1.14;2;0;10000;13.514;1;1;0;2015;0
23/08/2019;33500;30150;1121_1123;91;0;0;0;25.2;0;0;0;0;41;0;1;2;0;534;0.722;0.87;1;0;2020;0
14/01/2018;17500;17490;1126;106.5;0;0;3.3;0;0;0;0;0;50;0;1;2;0;311;0.42;1;1;0;2020;0
17/02/2019;30600;30600;1121_1123;91;0;0;0;25.2;0;0;0;0;41;0;1;3;0;406;0.549;1.11;1;0;2020;0
12/01/2018;20400;20378;1111;141;0;0;0;36;0;0;0;0;44;0;1.116;3;0;838;1.132;0.93;0.96;1;2020;0
19/05/2018;35000;35000;1121_1123;125.5;0;0;0;29.1;0;0;0;0;11;1;1;2;0;448;0.605;1;1;0;2020;0
28/07/2019;38000;37986;1121_1123;125.5;0;0;0;29.1;0;0;0;0;12;1;1;2;0;360;0.486;1;1;0;2020;0
05/09/2018;36500;36149;1121_1123;125.5;0;0;0;29.1;0;0;0;0;11;1;1;2;0;360;0.486;1;1;0;2020;0
30/10/2015;19700;19559;1121_1123;125.5;0;0;0;29.1;0;0;0;0;8;1;1;2;0;450;0.608;1;1;1;2020;0
29/04/2017;22000;22000;1111;163.3;53;0;0;32.8;0;0;1;0;57;0;1.175;2;0;682;0.922;0.93;0.96;1;2020;0
03/08/2014;19000;18924;1111;120.4;0;0;0;0;0;0;0;0;41;1;1;2;0;911;1.231;0.89;1;0;2020;0
04/10/2017;23000;23000;1126;102.3;0;0;0;0;0;0;0;0;43;0;1;2;0;244;0.33;1;1;0;2020;0
21/01/2018;33000;32969;1121_1123;122.7;0;0;0;34.1;0;0;0;0;38;0;1;3;0;544;0.735;1;0.96;0;2020;0
21/04/2017;22000;22000;1111;107.5;0;0;0;60.2;0;0;0;0;53;0;1.004;2;0;752;1.016;0.87;1;0;2020;0
23/01/2016;16000;16000;1121_1123;137.4;0;0;0;34.1;0;0;0;0;37;0;1;2;0;600;0.811;1;0.96;1;2020;0
11/05/2014;29900;29560;1111;146.9;0;0;0;37;0;0;0;0;8;0;1.093;5;0;864;1.168;1;1;0;2020;0
16/05/2014;29500;29500;1111;163.4;0;0;0;46;0;0;0;0;11;1;1;4;0;902;1.219;1;1;0;2020;0
25/08/2017;36000;35761;1121_1123;125.5;0;0;0;29.1;0;0;0;0;10;1;1;2;0;360;0.486;1;1;0;2020;0
17/05/2019;37500;37493;1111;157.2;0;0;0;0;0;0;0;0;27;0;1.184;2;0;761;1.028;0.81;0.89;0;2020;0
23/10/2016;36200;34417;1111;139.6;0;0;0;40.5;10.9;0;0;0;12;1;1.183;4;0;922;1.246;1;1;0;2020;0
01/07/2017;38000;38000;1111;120.7;0;0;0;43.3;0;0;0;0;14;0;1;3;0;847;1.145;1;1;0;2020;0
20/06/2014;21400;21336;1111;123.7;0;0;0;29;8.3;0;0;0;9;1;1.099;4;0;808;1.092;1;1;1;2020;0
16/07/2015;23900;23869;1111;123.7;0;0;0;29;8.3;0;0;0;10;1;1.099;4;0;808;1.092;1;1;0;2020;0
28/02/2016;23000;22804;1111;182.9;0;0;0;42.2;0;0;0;0;10;1;1.2;5;0;978;1.322;1;1;1;2020;0
23/08/2019;38500;37450;1121_1123;122.7;0;0;0;34.1;0;0;0;0;39;0;1;3;0;544;0.735;1;0.96;0;2020;0
17/02/2019;40500;40444;1122_1125;101.4;0;0;0;29.5;0;0;0;0;12;0;1;4;0;557;0.753;1;1;0;2020;0
04/05/2016;26800;26746;1111;176.8;0;0;0;36.8;0;0;0;0;9;0;1.18;5;0;797;1.077;1;1;1;2020;0
09/11/2019;45000;44856;1111;172;0;0;0;32.4;0;0;0;0;13;1;1;4;0;744;1.005;1;1;0;2020;0
13/05/2018;45000;44953;1122_1125;151.5;0;0;0;29;0;0;0;0;11;0;1;5;0;575;0.777;1;1;0;2020;0
04/10/2014;19500;19500;1122_1125;101.5;0;0;0;33.7;0;0;0;0;7;1;1;2;0;571;0.772;1;1;1;2020;0
17/04/2016;23200;23076;1122_1125;101.5;0;0;0;33.7;0;0;0;0;9;1;1;2;0;571;0.772;1;1;0;2020;0
24/11/2019;34000;33914;1122_1125;101.5;0;0;0;33.7;0;0;0;0;12;1;1;2;0;571;0.772;1;1;0;2020;0
20/01/2016;20000;20000;1122_1125;102.6;0;0;0;34.7;0;0;0;0;8;1;1;3;0;537;0.726;1;1;1;2020;0
03/10/2019;36500;36500;1122_1125;102.6;0;0;0;34.7;0;0;0;0;11;1;1;3;0;537;0.726;1;1;0;2020;0
26/03/2017;34500;34479;1122_1125;143.4;0;0;0;27.3;0;0;0;0;10;0;1;3;0;549;0.742;1;1;0;2020;0
21/02/2019;44500;44267;1111;142.7;0;0;0;31.9;0;0;0;0;12;0;1.022;2;0;815;1.101;1;1;0;2020;0
07/07/2018;21563;20779;1122_1125;128.6;0;0;0;29.9;0;0;0;0;11;0;1;4;0;559;0.755;1;1;0;2020;0
